"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"2413362",1,"1","Y","M",76,"A","-","S","-","-","Y","-","3","-","-","-",,,"N","-",0,2,"E",2001,"TOYOTA","A","1","0","A",,"-","-",2006
"2413362",2,"1","N","M",28,"A","-","W","-","-",,"-","3","-","-","-",,,"N","-",0,0,"B",,"-","I","20","0","H",,"-","-",2006
"2413367",1,"1","Y","F",20,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1997,"HONDA","A","1","0","H",,"-","-",2006
"2413367",2,"1","N","F",33,"B","-","-","M","G","N","-","3","-","-","-",,,"N","-",0,2,"A",1992,"LEXUS","A","1","0","W",,"-","-",2006
"2413382",1,"1","Y","F",51,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"D",2002,"HONDA","A","1","0","W",,"-","-",2006
"2413382",2,"4","N","F",56,"A","-","N","-","-","O","-","3","-","-","-",,,"N","-",0,1,"B",,"-","L","4","0","W",,"-","-",2006
"2413390",1,"1","Y","M",19,"A","-","E","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"E",1997,"CHEVROLET","A","1","0","W",,"-","-",2006
"2413390",2,"1","N","M",16,"A","-","S","L","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1999,"CHEVROLET","A","7","0","O",,"-","-",2006
"2413402",1,"1","Y","F",36,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1996,"TOYOTA","A","1","0","W",,"-","-",2006
"2413402",2,"1","N","M",43,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"D",2002,"NISSAN","A","1","0","W",,"-","-",2006
"2413406",1,"1","N","F",55,"A","-","N","M","G","Y","-","3","-","-","-",,,"G","-",0,1,"E",2003,"CHRYSLER","-","-","0","W",,"-","-",2006
"2413406",2,"1","N","F",35,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2001,"BMW","-","-","0","W",,"-","-",2006
"2413410",1,"1","Y","M",46,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"P",1999,"FORD","D","22","0",,,"-","-",2006
"2413418",1,"1","Y","F",75,"A","-","W","L","G","N","-","3","-","-","-",,,"N","-",0,1,"B",1995,"HONDA","A","1","0","W",,"-","-",2006
"2413418",2,"3","N","-",998,"H","H","W","-","-","O","-","-","-","-","-",,,"N","-",0,0,"O",1997,"BUICK","A","1","0",,,"-","-",2006
"2413426",1,"1","Y","F",21,"A","-","S","M","G","Y","-","3","-",,"25",22350,,"A","N",0,0,"B",2000,"TOYOTA","A","1","0","A",,"-","-",2006
"2413426",2,"1","N","F",36,"A","-","W","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"E",2005,"TOYOTA","A","1","0","W",,"-","-",2006
"2413429",1,"1","Y","F",49,"A","-","N","M","G","Y","-","-","-","-","-",,,"N","-",0,1,"B",1999,"PONTIAC","A","1","0",,,"-","-",2006
"2413429",2,"1","N","F",27,"A","-","W","M","G","Y","-","-","-","-","-",,,"N","-",0,0,"B",2002,"HONDA","A","1","0",,,"-","-",2006
"2413438",1,"1","Y","M",48,"A","-","W","N","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1990,"HONDA","A","1","0","W",,"-","-",2006
"2413438",2,"3","N","-",998,"H","H","W","-","-","O","-","-","-","-","-",,,"N","-",0,0,"O",2000,"FORD","D","22","0",,,"-","-",2006
